datetime,open,high,low,close,volume,volumeCcy,symbol,exchange,timeframe
2022-09-01 00:00:00,1553.6,1566.59,1533.42,1551.11,2964868.0,296486.8,ETH-USDT-SWAP,OKX,60
2022-09-01 01:00:00,1551.11,1564.83,1547.7,1559.68,1765323.0,176532.3,ETH-USDT-SWAP,OKX,60
2022-09-01 02:00:00,1559.68,1574.0,1550.99,1556.95,2101475.0,210147.5,ETH-USDT-SWAP,OKX,60
2022-09-01 03:00:00,1556.96,1564.0,1537.26,1549.7,2323762.0,232376.2,ETH-USDT-SWAP,OKX,60
2022-09-01 04:00:00,1549.7,1557.4,1542.39,1551.51,1331702.0,133170.2,ETH-USDT-SWAP,OKX,60
2022-09-01 05:00:00,1551.52,1562.85,1548.32,1553.39,1296330.0,129633.0,ETH-USDT-SWAP,OKX,60
2022-09-01 06:00:00,1553.24,1556.0,1544.4,1550.68,1446764.0,144676.4,ETH-USDT-SWAP,OKX,60
2022-09-01 07:00:00,1550.53,1550.71,1530.37,1544.79,2713199.0,271319.9,ETH-USDT-SWAP,OKX,60
2022-09-01 08:00:00,1544.66,1549.98,1531.65,1547.47,1811536.0,181153.6,ETH-USDT-SWAP,OKX,60
2022-09-01 09:00:00,1547.47,1554.71,1538.31,1549.81,1844082.0,184408.2,ETH-USDT-SWAP,OKX,60
2022-09-01 10:00:00,1549.81,1568.0,1547.42,1565.24,1592637.0,159263.7,ETH-USDT-SWAP,OKX,60
2022-09-01 11:00:00,1565.24,1586.7,1558.02,1577.63,3211908.0,321190.8,ETH-USDT-SWAP,OKX,60
2022-09-01 12:00:00,1577.63,1580.9,1551.13,1564.67,3236839.0,323683.9,ETH-USDT-SWAP,OKX,60
2022-09-01 13:00:00,1564.68,1577.15,1554.43,1567.46,3123129.0,312312.9,ETH-USDT-SWAP,OKX,60
2022-09-01 14:00:00,1567.4,1569.46,1513.51,1518.25,6946107.0,694610.7,ETH-USDT-SWAP,OKX,60
2022-09-01 15:00:00,1518.25,1547.26,1512.42,1536.14,3688423.0,368842.3,ETH-USDT-SWAP,OKX,60
2022-09-01 16:00:00,1536.13,1542.54,1523.28,1539.11,2549969.0,254996.9,ETH-USDT-SWAP,OKX,60
2022-09-01 17:00:00,1539.12,1569.47,1536.28,1555.21,3460944.0,346094.4,ETH-USDT-SWAP,OKX,60
2022-09-01 18:00:00,1555.22,1572.74,1552.64,1559.57,1772065.0,177206.5,ETH-USDT-SWAP,OKX,60
2022-09-01 19:00:00,1559.58,1569.69,1556.06,1564.41,856123.0,85612.3,ETH-USDT-SWAP,OKX,60
2022-09-01 20:00:00,1564.48,1585.52,1561.59,1580.12,1489377.0,148937.7,ETH-USDT-SWAP,OKX,60
2022-09-01 21:00:00,1580.12,1595.88,1576.15,1581.1,1076053.0,107605.3,ETH-USDT-SWAP,OKX,60
2022-09-01 22:00:00,1581.1,1600.0,1581.1,1586.38,1194919.0,119491.9,ETH-USDT-SWAP,OKX,60
2022-09-01 23:00:00,1586.39,1591.06,1581.3,1585.86,651100.0,65110.0,ETH-USDT-SWAP,OKX,60
2022-09-02 00:00:00,1585.86,1585.9,1572.52,1581.43,986958.0,98695.8,ETH-USDT-SWAP,OKX,60
2022-09-02 01:00:00,1581.42,1583.0,1570.77,1579.74,862133.0,86213.3,ETH-USDT-SWAP,OKX,60
2022-09-02 02:00:00,1579.74,1584.8,1567.26,1577.9,1239697.0,123969.7,ETH-USDT-SWAP,OKX,60
2022-09-02 03:00:00,1577.91,1606.0,1577.52,1595.61,3028123.0,302812.3,ETH-USDT-SWAP,OKX,60
2022-09-02 04:00:00,1595.6,1611.57,1591.52,1594.0,1675677.0,167567.7,ETH-USDT-SWAP,OKX,60
2022-09-02 05:00:00,1594.0,1594.6,1586.36,1591.29,1281357.0,128135.7,ETH-USDT-SWAP,OKX,60
2022-09-02 06:00:00,1591.29,1592.43,1578.4,1588.34,1373160.0,137316.0,ETH-USDT-SWAP,OKX,60
2022-09-02 07:00:00,1588.33,1597.0,1581.8,1593.75,1231558.0,123155.8,ETH-USDT-SWAP,OKX,60
2022-09-02 08:00:00,1593.72,1597.88,1583.55,1589.81,1151899.0,115189.9,ETH-USDT-SWAP,OKX,60
2022-09-02 09:00:00,1589.8,1597.72,1586.37,1593.51,930999.0,93099.9,ETH-USDT-SWAP,OKX,60
2022-09-02 10:00:00,1593.49,1602.7,1582.0,1589.17,1876237.0,187623.7,ETH-USDT-SWAP,OKX,60
