datetime,order,price,pnl,cum_pnl
2022-09-01 21:15:00,open long,1586.0,0.0,0.0
2022-09-01 22:10:00,close long,1596.7,9.108650000000045,9.108650000000045
2022-09-02 03:00:00,open long,1599.8,0.0,9.108650000000045
2022-09-02 12:35:00,close long,1632.0,30.584100000000046,39.69275000000009
2022-09-02 12:40:00,open long,1620.76,0.0,39.69275000000009
2022-09-02 13:00:00,close long,1633.46,11.072890000000045,50.76564000000013
2022-09-02 13:20:00,open long,1637.34,0.0,50.76564000000013
2022-09-02 19:20:00,open short,1554.32,0.0,50.76564000000013
2022-09-03 07:50:00,close short,1540.24,12.532719999999927,63.29836000000006
2022-09-03 07:55:00,open short,1543.55,0.0,63.29836000000006
2022-09-06 00:50:00,close long,1669.42,30.426620000000156,93.72498000000022
2022-09-06 06:45:00,open long,1667.65,0.0,93.72498000000022
2022-09-06 12:10:00,close long,1678.11,8.78711999999981,102.51210000000003
2022-09-07 00:20:00,close short,1529.18,12.83363499999989,115.34573499999992
2022-09-07 00:25:00,open short,1530.56,0.0,115.34573499999992
2022-09-07 02:10:00,close short,1518.99,10.045224999999936,125.39095999999985
2022-09-07 19:15:00,open long,1574.36,0.0,125.39095999999985
2022-09-07 20:15:00,close long,1599.49,23.54307500000011,148.93403499999997
2022-09-07 22:00:00,open long,1648.86,0.0,148.93403499999997
2022-09-09 03:30:00,close long,1668.51,17.991315000000093,166.92535000000007
2022-09-09 03:35:00,open long,1666.21,0.0,166.92535000000007
2022-09-09 04:05:00,close long,1676.72,8.838534999999991,175.76388500000004
2022-09-09 12:35:00,open long,1734.5,0.0,175.76388500000004
2022-09-10 21:45:00,close long,1773.81,37.55584499999995,213.31973
2022-09-10 21:50:00,open long,1758.07,0.0,213.31973
2022-09-10 22:35:00,close long,1769.05,9.216440000000018,222.53617
2022-09-11 17:35:00,open long,1786.55,0.0,222.53617
2022-09-11 21:50:00,open short,1728.77,0.0,222.53617
2022-09-12 15:45:00,close short,1713.81,13.238710000000037,235.77488000000002
2022-09-12 15:50:00,open short,1708.24,0.0,235.77488000000002
2022-09-12 16:05:00,close short,1697.31,9.227225000000063,245.00210500000009
2022-09-13 00:20:00,open short,1681.33,0.0,245.00210500000009
2022-09-13 12:45:00,close short,1663.86,15.797405000000028,260.7995100000001
2022-09-13 12:50:00,open short,1625.87,0.0,260.7995100000001
2022-09-13 13:10:00,close short,1615.55,8.699289999999936,269.4988000000001
2022-09-13 19:05:00,open short,1574.62,0.0,269.4988000000001
2022-09-13 23:15:00,close short,1563.7,9.350839999999845,278.8496399999999
2022-09-13 23:20:00,open short,1565.95,0.0,278.8496399999999
2022-09-15 14:30:00,close short,1539.17,25.227439999999973,304.0770799999999
2022-09-15 14:35:00,open short,1517.5,0.0,304.0770799999999
2022-09-15 14:50:00,close short,1493.2,22.794649999999955,326.87172999999984
2022-09-15 14:55:00,open short,1493.6,0.0,326.87172999999984
2022-09-15 15:10:00,close short,1480.1,12.01315,338.88487999999984
2022-09-16 00:15:00,open short,1454.32,0.0,338.88487999999984
2022-09-16 13:50:00,close short,1435.53,17.345074999999962,356.2299549999998
2022-09-16 13:55:00,open short,1430.41,0.0,356.2299549999998
2022-09-16 17:15:00,close short,1415.27,13.7171600000001,369.9471149999999
2022-09-18 10:00:00,open short,1421.16,0.0,369.9471149999999
2022-09-18 14:45:00,close short,1410.43,9.314205000000019,379.2613199999999
2022-09-18 14:50:00,open short,1419.98,0.0,379.2613199999999
2022-09-18 16:10:00,close short,1398.91,19.660554999999935,398.92187499999983
2022-09-18 16:15:00,open short,1396.81,0.0,398.92187499999983
2022-09-18 17:05:00,close short,1384.02,11.399584999999963,410.3214599999998
2022-09-18 21:00:00,open short,1364.6,0.0,410.3214599999998
2022-09-18 21:05:00,close short,1347.07,16.174164999999974,426.49562499999973
2022-09-18 21:10:00,open short,1332.86,0.0,426.49562499999973
2022-09-19 02:15:00,close short,1303.33,28.211904999999973,454.7075299999997
2022-09-19 02:20:00,open short,1301.56,0.0,454.7075299999997
2022-09-19 03:40:00,close short,1289.98,10.284229999999926,464.9917599999996
2022-09-19 05:55:00,open short,1296.46,0.0,464.9917599999996
2022-09-19 06:40:00,close short,1284.62,10.549460000000145,475.5412199999997
2022-09-20 21:50:00,open short,1329.75,0.0,475.5412199999997
2022-09-20 21:55:00,close short,1316.35,12.07695000000009,487.6181699999998
2022-09-21 18:00:00,open short,1327.86,0.0,487.6181699999998
2022-09-21 20:15:00,close short,1308.48,18.061829999999883,505.67999999999967
2022-09-21 21:05:00,open short,1282.94,0.0,505.67999999999967
2022-09-21 21:10:00,close short,1270.95,10.71305500000001,516.3930549999997
2022-09-21 21:15:00,open short,1274.75,0.0,516.3930549999997
2022-09-21 21:25:00,close short,1252.25,21.2365,537.6295549999996
2022-09-21 21:30:00,open short,1259.92,0.0,537.6295549999996
2022-09-21 22:05:00,close short,1242.83,15.838625000000146,553.4681799999997
2022-09-23 13:55:00,open short,1270.43,0.0,553.4681799999997
